,open,high,low,close,volume,value
2017-09-25 09:00:00,4201000.0,4333000.0,4175000.0,4322000.0,132.48475499,560214613.8164
2017-09-26 09:00:00,4317000.0,4418000.0,4311000.0,4321000.0,22.78833969,99507239.78705
2017-09-27 09:00:00,4322000.0,4677000.0,4318000.0,4657000.0,32.2696617,144827622.95669
2017-09-28 09:00:00,4657000.0,4772000.0,4519000.0,4586000.0,80.5882434,372185978.32992
2017-09-29 09:00:00,4586000.0,4709000.0,4476000.0,4657000.0,59.35237346,272455756.80078
2017-09-30 09:00:00,4657000.0,4896000.0,4651000.0,4895000.0,19.99848332,95614755.70559
2017-10-01 09:00:00,4889000.0,4978000.0,4682000.0,4962000.0,27.32333246,133132538.89401
2017-10-02 09:00:00,4962000.0,5095000.0,4956000.0,5025000.0,31.72800385,159931532.80646
2017-10-03 09:00:00,5021000.0,5079000.0,4811000.0,4964000.0,11.89930699,58901304.61549
2017-10-04 09:00:00,4987000.0,5002000.0,4837000.0,4895000.0,7.03874388,34588125.30359
2017-10-05 09:00:00,4894000.0,4993000.0,4811000.0,4926000.0,5.36365175,26371319.19136
2017-10-06 09:00:00,4927000.0,5034000.0,4885000.0,5027000.0,25.16382027,123935127.5442
2017-10-07 09:00:00,4983000.0,5070000.0,4935000.0,5047000.0,4.343932,21667485.97149
2017-10-08 09:00:00,5044000.0,5263000.0,4993000.0,5217000.0,145.91785961,738294004.47278
2017-10-09 09:00:00,5222000.0,5761000.0,5188000.0,5477000.0,8.07043419,43270591.14121
2017-10-10 09:00:00,5469000.0,5665000.0,5459000.0,5486000.0,11.69369387,64822758.50704
2017-10-11 09:00:00,5533000.0,5605000.0,5451000.0,5557000.0,4.21265003,23324891.84167
2017-10-12 09:00:00,5569000.0,6377000.0,5515000.0,6332000.0,20.91828711,118992386.99591
2017-10-13 09:00:00,6346000.0,6950000.0,6149000.0,6438000.0,26.82608423,175283223.76282
2017-10-14 09:00:00,6427000.0,6664000.0,6322000.0,6664000.0,3.35282452,21713362.01115
